Altitude_ft,DeltaISA_C,RPM,POH_KTAS,POH_PercentMCP,POH_FuelFlow_GPH,Density_kgpm3,AdvanceRatio,LiftCoefficient,EnginePower_kW,CurrentPolarPowerRequired_kW,CurrentPolarEtaImplied,ExternalPolarPowerRequired_kW,ExternalPolarEtaImplied,HaberkornPowerRequired_kW,HaberkornEtaImplied,CurrentProxyEta,CurrentProxyPowerMargin_kW
6000,20,2500,112,60,8.5,0.95480545236776,0.716341417322835,0.441788522871108,80.5355861308852,55.3232910660399,0.686942179524581,62.1550895561279,0.771771741440044,53.5339056191639,0.664723610903649,0.849004393952602,13.0517754286299
6000,20,2600,118,68,9.4,0.95480545236776,0.725689279224712,0.39800310477558,91.2736642816699,61.3105164347602,0.671721869799775,69.0986796468277,0.757049475230771,61.1225382423419,0.669662368914194,0.849615185615698,16.2369747857356
6000,20,2650,121,72,9.8,0.95480545236776,0.730098648046353,0.378512070957939,96.6427033570622,64.6026468867919,0.668468954641169,72.9106374988665,0.754434995774966,65.272115706291,0.675396211394589,0.849811151118439,17.5254001002709
8000,20,2200,90,41,6.2,0.896987789502932,0.654126700071582,0.728272338819268,55.0326505227715,39.8451832890091,0.724028061714416,43.9410154015039,0.798453554100977,32.5317859152844,0.591136091143262,0.839742139343388,6.36805239472006
8000,20,2300,97,46,6.8,0.896987789502932,0.674350907223554,0.62695354920141,61.743949367012,43.2804773550615,0.700967103639552,48.015655386021,0.77765766327339,37.285853990904,0.603878669459145,0.844176780348781,8.84233102760079
8000,20,2400,104,51,7.4,0.896987789502932,0.692889763779528,0.545396259655702,68.4552482112524,47.6753747478598,0.696445867827897,53.1745064944512,0.77677764501496,43.1202520958709,0.629904254569381,0.846610660608434,10.279568162383
8000,20,2500,111,57,8.1,0.896987789502932,0.709945511811024,0.478776555834435,76.5088068243409,53.0473953449998,0.693350184728315,59.441005482637,0.776917167445959,50.0789546728121,0.654551505263832,0.848455295950209,11.8669069919438
8000,20,2600,117,64,8.9,0.896987789502932,0.71953937007874,0.430930377999567,85.9046252062775,58.4495254688242,0.680400215104518,65.7185928853258,0.765018096843095,56.976048573258,0.663247740577936,0.849240995679721,14.5042039748482
8000,20,2650,120,67,9.3,0.896987789502932,0.724064774922003,0.409653190585838,89.9314045128218,61.4333129276541,0.68311301553058,69.1791759691951,0.769243806920997,60.758565120412,0.675610099158959,0.849527286354959,14.9658691062136
8000,20,2700,123,71,9.7,0.896987789502932,0.728422572178478,0.38991380424589,95.3004435882141,64.6092847293704,0.677953662089361,72.8587198802795,0.764516062434047,64.7695680933108,0.679635536358834,0.849744213882112,16.3717157901132
10000,20,2300,95,44,6.5,0.841888541337274,0.660446764806573,0.69640768634316,59.0594298293158,42.0581907536199,0.712133369305627,46.4649408882472,0.786748890440236,34.8941026548576,0.590830334050006,0.841358727304537,7.63197596290481
10000,20,2400,102,49,7.1,0.841888541337274,0.679564960629921,0.604102207732317,65.7707286735562,45.7564874751972,0.695696830459383,50.8363162692508,0.772932234361728,39.9414710458576,0.607283389607882,0.844943690576066,9.81607474211454
10000,20,2500,109,54,7.8,0.841888541337274,0.697153700787402,0.529002556118763,72.4820275177967,50.387796255264,0.695176417945707,56.2628491863678,0.776231724099515,46.0458293004196,0.635272368575974,0.847112461926268,11.0126325207442
10000,20,2600,115,60,8.5,0.841888541337274,0.707239551786796,0.475242296351382,80.5355861308852,55.1141044577344,0.684344736352496,61.7722975847879,0.767018662835539,52.1517175248751,0.647561159362755,0.848195772301478,13.195839218304
10000,20,2650,119,63,8.9,0.841888541337274,0.718030901797653,0.443830193435988,84.5623654374295,58.6612986496279,0.693704561670917,65.8956527629694,0.779255079042554,56.6858303557198,0.67034348037087,0.849132764275716,13.1433764679498
10000,20,2700,122,67,9.3,0.841888541337274,0.722500437445319,0.422270852542799,89.9314045128218,61.5336760346918,0.684229011745488,69.2293759478287,0.769802009908101,60.3363758909773,0.67091552965099,0.849435058495064,14.8572118182003
12000,20,2300,92,41,6.3,0.78941780709329,0.639590551181102,0.791922699357411,55.0326505227715,40.9512252945325,0.744125985310986,45.0093025312989,0.817865432679366,32.4548453159839,0.589738001126343,0.835344586442679,5.02000139725652
12000,20,2400,100,46,6.8,0.78941780709329,0.666240157480315,0.670283372736113,61.743949367012,44.341460639975,0.718150702936172,49.0624966413564,0.794612219405082,37.2971936215759,0.604062325198503,0.842662614878745,7.68785718657211
12000,20,2500,107,51,7.4,0.78941780709329,0.68436188976378,0.58545145666531,68.4552482112524,48.2681169335685,0.705104695327573,53.6917815217675,0.78433404194336,42.6009630827311,0.622318437167372,0.845555710873876,9.61460913074466
12000,20,2600,114,57,8.1,0.78941780709329,0.701089642640824,0.515761290193993,76.5088068243409,53.1016081880714,0.694058767770215,59.347399702529,0.775693703324724,48.9372597296307,0.63962910625423,0.847554680344695,11.7437891234869
12000,20,2650,117,60,8.5,0.78941780709329,0.705963155548953,0.489651086811391,80.5355861308852,55.4552490457074,0.688580684761918,62.0912951049447,0.77097961395643,51.9789595401964,0.645416045718236,0.848068305091302,12.844428983847
